artista,resumen,popularidad,reproducciones,similares
La Fuga,"Spanish rock band La Fuga were born in July of 1996 in Reinosa, a small industrial town south of Cantabria. Edu (drums), Rulo (guitar and voice), Fito (lead guitar and voice), and Inaki (bass) all left previous bands behind in hopes of forming a solid group. It was not long before La Fuga were performing regularly in Reinosa and the surrounding area. In June of 1997 the group took to the studio to record its first record, the self-produced El Camino. <a href=""https://www.last.fm/music/La+Fuga"">Read more on Last.fm</a>",74678,2270655,"['Marea', 'Platero y tú', 'Extremoduro', 'Rosendo', 'Fito Y Fitipaldis']"
Eartha Kitt,"Eartha Mae Kitt (January 17, 1927 - December 25, 2008), was an American actress, singer, and cabaret star. She was perhaps best known for her 1953 Christmas song Santa Baby. Orson Welles once called her the ""most exciting woman in the world"". She took on the role of Catwoman for the fourth season of the 1960s Batman TV series, replacing Julie Newmar who was unavailable for the final series.

Born in tiny North, South Carolina to Mamie Kitt, who was of Cherokee and African-American descent <a href=""https://www.last.fm/music/Eartha+Kitt"">Read more on Last.fm</a>",973381,4979687,"['Bing Crosby', 'Peggy Lee', 'Judy Garland', 'Darlene Love', 'Kay Starr']"
Emilie-Claire Barlow,"Emilie-Claire Barlow (born 6 June 1976) is a Canadian singer, arranger, record producer, and voice actress. She has released several albums on her label, Empress Music Group, and has voiced characters for animated television series. She performs in English, French, and Portuguese.

Barlow's first album, Sings, was released in 1998. She has received seven nominations for Canada's Juno Awards with her album Seule ce soir winning for best Jazz Vocal Recording in 2013 and Clear Day winning the same award in 2016. <a href=""https://www.last.fm/music/Emilie-Claire+Barlow"">Read more on Last.fm</a>",132336,1141416,"['Stacey Kent', 'Laura Fygi', 'Renee Olstead', 'Sophie Milman', 'Halie Loren']"
Fonseca,"Juan Fernando Fonseca is a Colombian singer. His most famous song is ""Te mando flores"". He started making music at the age of 5 and by the age of 12 he had already sold 500 copies of his first song. In the year 2002 he released his album named ""Fonseca"" and the most important songs from that CD were: ""Noches de carnaval"", ""Sueño"", ""Confiésame"" and ""Magangué"". This lead him to perform with Shakira, Juanes and Carlos Vives, all Colombian singers like him. <a href=""https://www.last.fm/music/Fonseca"">Read more on Last.fm</a>",179122,2162051,"['Carlos Vives', 'Andrés Cepeda', 'Santiago Cruz', 'Bacilos', 'Cabas']"
Cabas,"Andrés Mauricio Cabas, or just Cabas (born 7 October 1977) is a Colombian musician. His music, which is slowly gaining popularity, is distinguished by its catchy and Caribbean sounding songs.


Cabas released his self-titled album, ""Cabas"", in 2000, which he hoped to be popular and joyful. It became a huge success in Colombia, where his single Mi Bombón (My Lollipop) lead the charts of radio stations for three consecutive months, earning him a Gold Disc and a double Platinum disc. <a href=""https://www.last.fm/music/Cabas"">Read more on Last.fm</a>",102321,875848,"['Fonseca', 'Andrés Cepeda', 'Santiago Cruz', 'Bacilos', 'Juanes']"
El Combo De Las Estrellas," <a href=""https://www.last.fm/music/El+Combo+De+Las+Estrellas"">Read more on Last.fm</a>",20641,108341,"['El Tropicombo', 'Los Hispanos', 'Los Graduados', 'Armando Hernandez', 'Los Tupamaros']"
Buckcherry,"Buckcherry is a band formed in Los Angeles back in 1995. The band released two albums before dissolving in summer 2002 after lead singer Josh Todd left to pursue a solo career. The band reformed in 2005 with a completely new rhythm section to release their third album on April 11th 2006, entitled '15', the album consist of the bands two biggest hits to date ""Crazy Bitch"" and ""Sorry""

Sound

Coming out during a time when rock music was dominated by post-grunge <a href=""https://www.last.fm/music/Buckcherry"">Read more on Last.fm</a>",626806,9103537,"['Hinder', 'Saving Abel', 'Kid Rock', 'Black Stone Cherry', 'Theory of a Deadman']"
Nina Sky,"Natalie and Nicole Albino (born in New York City) are identical twin sisters who sing under the name ""Nina Sky"". They are half-Puerto Rican and half-Dominican.

Their parents moved from Puerto Rico and were divorced when the girls were very young. The twins' mother remarried with a DJ, who also happened to be Puerto Rican. They grew up in the Queens and Roosevelt Island sections of New York.

Since their stepfather worked as a DJ, the twins were influenced by different types of music. <a href=""https://www.last.fm/music/Nina+Sky"">Read more on Last.fm</a>",326661,1502978,"['Lumidee', 'Sean Paul', 'The Pussycat Dolls', 'Ciara', 'Cassie']"
Rui Veloso,"Rui Veloso, born in 1957, is a Portuguese rock singer and musician. Regarded as the “father of Portuguese rock”, this composer and interpreter had a great impact on the Portuguese music scene with the record Ar de Rock (April 1980).

Songs such as Chico Fininho and A Rapariguinha do Shopping were instant classics in the 1980s. His lyrics, usually written by Carlos Tê, are strongly influenced by Porto's culture. An unconditional lover of the blues, he has played with B. <a href=""https://www.last.fm/music/Rui+Veloso"">Read more on Last.fm</a>",41768,725411,"['Xutos & Pontapés', 'GNR', 'António Variações', 'Jorge Palma', 'Capitão Fausto']"
Cocoon,"There are at least six bands called Cocoon:

1. Cocoon is a two-piece French band formed in 2006 by Mark Daumail (born 1984, composition, lead vocals, acoustic guitar, ukelele, banjo, beatbox, etc.) and Morgane Imbeaud (born 1987, vocal harmonies, keyboards, arrangements).

""I wanted it to be a male-female duet. A duo like the White Stripes are in rock — we wanted to be the equivalent in folk music,"" Daumail says. Their songs are entirely sung in English. <a href=""https://www.last.fm/music/Cocoon"">Read more on Last.fm</a>",270917,4506317,"['Charlie Winston', 'Moriarty', 'Lilly Wood & The Prick', 'Yodelice', 'Jil Is Lucky']"
Hank Mobley,"Henry (Hank) Mobley (July 7, 1930 – May 30, 1986) was an American hard bop and soul jazz tenor saxophonist and composer. Mobley was described by Leonard Feather as the ""middleweight champion of the tenor saxophone"", a metaphor used to describe his tone that was neither as aggressive as John Coltrane nor as mellow as Stan Getz. His style was laid-back, subtle and melodic, especially in contrast with players like Sonny Rollins and John Coltrane, and it took many jazz connoisseurs until after his demise to fully appreciate his talent. <a href=""https://www.last.fm/music/Hank+Mobley"">Read more on Last.fm</a>",372583,2951247,"['Lee Morgan', 'Dexter Gordon', 'Sonny Clark', 'Jackie McLean', 'Freddie Hubbard']"
Heather B,"Heather B. Gardner is an African-American hip-hop artist from Jersey City, New Jersey. She is billed in all projects as ""Heather B."" She is most well known for being a castmember/roommate on the first (and most critically acclaimed) season of MTV's reality show The Real World. One of two African-American roomates, Heather was portrayed as a friendly, intelligent young woman with aspirations to become a rap superstar. She forged an unlikely friendship <a href=""https://www.last.fm/music/+noredirect/Heather+B"">Read more on Last.fm</a>",7307,44691,[]
Infinite Flow (I.F)," <a href=""https://www.last.fm/music/Infinite+Flow+(I.F)"">Read more on Last.fm</a>",493,2424,"['Garion', 'Leo Kekoa', 'P-Type', 'JINBO the SuperFreak', 'Kebee']"
Chris Rea,"Christopher Anton Rea (born 4 March 1951) is an English rock and blues singer and guitarist from Middlesbrough. A ""gravel-voiced guitar stalwart"" known for his slide guitar playing, Rea has recorded twenty five solo albums, two of which topped the UK Albums Chart. Described as ""rock's ultimate survivor"", given his recovery from several bouts of serious illness, Rea was ""a major European star by the time he finally cracked the UK Top 10"" with his single ""The Road to Hell (Part 2)"". <a href=""https://www.last.fm/music/Chris+Rea"">Read more on Last.fm</a>",1146282,13713446,"['Joe Cocker', 'Mark Knopfler', 'Dire Straits', 'Tony Joe White', 'Snowy White']"
MakSim,"(NOTICE: for the Russian singer see МакSим . Streaming platforms changed her russian stage name to MakSim (for other languages, mainly English)

There are more than two people under the artist name of Maksim.

Marina Sergeevna Abrosimova; born 10 June 1983), better known under her stage name MakSim (earlier - Maxi-M) is a Russian pop singer.

She has released five albums : Трудный возраст (Trudnyy Vozrast, 2006(More than 2 Million Copies Sold) <a href=""https://www.last.fm/music/Maksim"">Read more on Last.fm</a>",72526,953810,"['Edvin Marton', 'George Davidson', 'David Garrett', 'Bond', 'Eduard Volchek']"
The Rasmus,"The Rasmus is a rock band formed in 1994 in Helsinki, Uusimaa, Finland. Consisting of  Lauri Ylönen (lead singer/songwriter), Eero Heinonen (bass), Aki Hakala (drums) and Emppu Suhonen (guitar). Former guitarist Pauli Rantasalmi left the band in January 2022 to focus on his own path. The band was formed at the end of the band members' schooling and were initially known as Rasmus. They recorded their first single, 1st, released independently through Teja Kotilainen Records in late 1995. <a href=""https://www.last.fm/music/The+Rasmus"">Read more on Last.fm</a>",987286,26518674,"['Sunrise Avenue', 'Lauri', 'Reamonn', 'Manic Bloom', 'Poets of the Fall']"
Obie Bermudez,"Obie Bermúdez es un cantante y compositor puertorriqueño. Nació el 10 de enero de 1980, en la zona cálida y montañosa de Aibonito, (Puerto Rico). De abuelo músico y de padre fundador de una banda de rock, desde los 12 años de edad su familia se traslada a New York (EE.UU.), lugar donde nació el padre de Obie.

Fue allí donde empezó su carrera artística. Primeramente cuenta que, para ganarse el pan de cada día, trabajaba en una lavandería <a href=""https://www.last.fm/music/+noredirect/Obie+Bermudez"">Read more on Last.fm</a>",16299,97572,[]
Miguel Bosé,"Miguel Luchino González Bosé (born April 3, 1956) is a Latin Grammy-winning musician and actor from Spain. He is one of the biggest stars in the Spanish speaking world mainstream, both in Spain and Latin America, and a well-known actor in French cinema as well.

Bosé was born in San Fernando Hospital in Panama City, Panama, the son of the famous Italian actress Lucia Bosé and the legendary bullfighter Luis Miguel González Lucas. He is also cousin of Carmen Ordóñez. His Godfather was Luchino Visconti. <a href=""https://www.last.fm/music/+noredirect/Miguel+Bos%C3%A9"">Read more on Last.fm</a>",307815,5089387,"['Alejandro Sanz', 'Emmanuel', 'Mecano', 'Ana Torroja', 'Aleks Syntek']"
Paul Brown,"Born and raised in LA to parents very involved in the music business, Paul Brown first began playing drums at the age of five. 
Although a very talented musician in has own right, he is best known as a Grammy winning producer / engineer having worked with just about everybody of consequence in the jazz world. These include Norman Brown, Peter White, George Benson,Boney James, Luther Vandross, Euge Groove, Jeffrey Osbourne, Larry Carlton, Al Jarreau, Bobby Caldwell, Patti Austin and Kirk Whalum to name but a few ! <a href=""https://www.last.fm/music/Paul+Brown"">Read more on Last.fm</a>",98996,912093,"['Chuck Loeb', 'Brian Simpson', 'Jeff Golub', 'Jay Soto', 'Norman Brown']"
Cæcilie Norby,"Cæcilie Norby (born September 9, 1964 in Frederiksberg, Denmark) is a celebrated Danish jazz singer-songwriter. She is the daughter of composer Erik Norby and opera singer Solveig Lumholt, and her younger sister, Louise Norby, is a pop singer. Cæcilie received her music education at Sankt Annæ Gymnasium (the Copenhagen Municipal Choir School), followed by a year at a ""folkehøjskole"" (folk high school) with theatre and music as her main subjects. <a href=""https://www.last.fm/music/+noredirect/C%C3%A6cilie+Norby"">Read more on Last.fm</a>",42809,318713,"['Sinne Eeg', 'Stacey Kent', 'Viktoria Tolstoy', 'Rigmor Gustafsson', 'Silje Nergaard']"
Happysad,"Happysad (stylized as happysad) is a Polish rock band created in Skarżysko-Kamienna in 1994. Their first album ""Wszystko jedno"" was released in 2004. The second album ""Podróże z i pod prąd"" was released in 2005. The band has gone on multiple national tours in Poland.

Music of happysad is made of mainly melodic rock, with influence of punk and reggae, that are accompanied with characteristic lyrics. Only in 2004 the band has played over 150 concerts, including supporting such famous groups as Kult, Pidżama Porno and T.Love. <a href=""https://www.last.fm/music/happysad"">Read more on Last.fm</a>",270174,29529192,"['Strachy Na Lachy', 'Pidżama Porno', 'Wilki', 'T.Love', 'Myslovitz']"
Buggin Malone,"Buggin Malone's musical writings and production are reflected in his life experiences, his passions, and his philosophy on life is revealed in his musical writings. While very proud of being Oneida, he never fails to forget that he is of blended tribes, Prairie Band Potawatomi, Ho-Chunk, and Stockbridge-Munsee. Buggin Malone was born as Wayne Malone, in Milwaukee, Wisconsin. He grew up on the Eastside of Milwaukee, and struggled with gang activities throughout his early years. <a href=""https://www.last.fm/music/Buggin+Malone"">Read more on Last.fm</a>",209,684,"['TGK', 'War Party', '9tails & sadeyes', 'Bronquitis Cronica', 'Dapper Dav']"
Скрябін,"Skryabin (Ukrainian: Скрябін, also transliterated as Scriabin or Skriabin) is a Ukrainian rock, pop band formed in 1989 in Novoyavorivsk, Ukraine. Prominent Ukrainian musician Andriy ""Kuzma"" Kuzmenko (Ukrainian: Андрій Кузьменко) was the band's lead singer until he died in 2015.

During its existence, Skryabin has gone from synthpop to rock and pop music. As it progressed, the band's style has been divided into ""classic Skryabin"" and ""new Skryabin"". This transition took place between 2000 and 2003. <a href=""https://www.last.fm/music/+noredirect/%D0%A1%D0%BA%D1%80%D1%8F%D0%B1%D1%96%D0%BD"">Read more on Last.fm</a>",58177,2773652,"['Океан Ельзи', 'Друга Ріка', 'Жадан і собаки', 'Тнмк', 'Тартак']"
Jarabe De Palo,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J. <a href=""https://www.last.fm/music/Jarabe+de+Palo"">Read more on Last.fm</a>",487256,7379675,"['Los Fabulosos Cadillacs', 'Fito Y Fitipaldis', 'Alejandro Sanz', 'Enanitos Verdes', 'Enrique Bunbury']"
João Gilberto,"João Gilberto (João Gilberto Prado Pereira de Oliveira, Juazeiro, Bahia, Brazil, June 10, 1931 - July 6, 2019) was a Brazilian singer, acoustic guitarist and ocasional songwriter, considered one of the creators of bossa nova with Antônio Carlos Jobim and Vinícius de Moraes. One of his most famous nicknames is ""Pai da Bossa Nova"" (Father of Bossa Nova).

A self-taught guitarist and singer, Gilberto moved to Rio de Janeiro in 1950 and joined the vocal group Garotos da Lua (""The Boys of the Moon"") as their lead singer. <a href=""https://www.last.fm/music/+noredirect/Jo%C3%A3o+Gilberto"">Read more on Last.fm</a>",762686,16977651,"['Antônio Carlos Jobim', 'Stan Getz & João Gilberto', 'João Donato', 'Nara Leão', 'Vinícius de Moraes']"
Céline Dion,"Céline Marie Claudette Dion (born March 30, 1968 in Charlemagne, Quebec, Canada) is a Canadian singer. Regarded as one of pop music's most influential voices, Céline Dion remains the best-selling Canadian artist and one of the best-selling artists of all time with record sales of over 200 million copies worldwide.  To date, Céline Dion has won five Grammy Awards, including Album of the Year and Record of the Year.  She is the second best-selling female artist in the US during the Nielsen SoundScan era. <a href=""https://www.last.fm/music/+noredirect/C%C3%A9line+Dion"">Read more on Last.fm</a>",2130742,43632877,"['Lara Fabian', 'Whitney Houston', 'Cher', 'Mariah Carey', 'Shania Twain']"
CYNE,"Cyne (Cultivating Your New Experience) formed in the summer of 2001, in the swamps of Gainesville, Florida. Cyne is emcees Akin Yai and Cise Star, and producers Speck and Enoch.

Their often politically-charged, culturally-introspective, and motivational lyrics find influence rooted in the early works of Nas, Public Enemy, Outkast and Common Sense. The production could be described as warm, soulful and organic -- born out of the school of producers that cite the likes of RZA, Pete Rock, Jay Dee, and DJ Premier. <a href=""https://www.last.fm/music/Cyne"">Read more on Last.fm</a>",187809,3741033,"['Substantial', 'CunninLynguists', 'Funky DL', 'Binary Star', 'Five Deez']"
Czheck,"Czheck is a artist/producer from Iowa City
""Czheck 4 President"" is the 4th album from Czheck
Czheck's influences include Jay-Z,9th wonder,Nas,Big L,Wu tang Clan,Notorious Big,Rakim,Pete Rock,Hieroglyphics,Guru,DJ Premier,Mr Lif,and a heavy east coast influence in general. 
You can find more of Czheck at www.reverbnation.com/czheckproductions.  <a href=""https://www.last.fm/music/Czheck"">Read more on Last.fm</a>",1388,88348,"['Czheck Productions', 'Backpackers Union', 'Jmilla', 'Talk-Sik', 'nomadic poet']"
Nesian Mystik,"Nesian Mystik are one of the top hip hop and RnB groups in New Zealand, blending a variety of polynesian singing and rhyme styles into a unique flavour of music. They beging with a top selling single Nesian Style following up with their #1 debut album Polysaturated in 2002. In 2006 the eagerly awaited followup album Freshmen was released, continuing their Samoan, Maori, Cook Island and Tongan blend of funky, happy beats. <a href=""https://www.last.fm/music/Nesian+Mystik"">Read more on Last.fm</a>",28192,295144,"['Ché-Fu', '1814', 'Adeaze', 'Ardijah', 'Deach']"
Terror Squad,"There are two groups named Terror Squad :

1) Terror Squad is an American hip hop collective that was first established in 1998. Based in The Bronx borough of New York City, the members of Terror Squad collectively debuted on a song in member Fat Joe's album Don Cartagena. Terror Squad released its eponymous debut, The Album, in 1999, with its first major hit ""Whatcha Gon' Do"", credited mostly to Big Pun, who died of a heart attack in 2000. After Big Pun's death <a href=""https://www.last.fm/music/Terror+Squad"">Read more on Last.fm</a>",333137,1701403,"['Fat Joe', 'Chingy', 'Sly Boogy', 'Ja Rule', 'Nelly']"
Yndio,"Grupo Yndio is a Mexican band from Sonora founded in 1972,[1] by some of the members of the dissolute Los Pulpos.

The band is known for Spanish covers of English-language pop hits, but with a distinctive Grupero style.[2][3] Their best known hits include ""Melodía desencadenada"", ""Línea telefónica"" and ""Herida de amor,"" Spanish covers of ""Unchained Melody"", ""Telephone Line"" and ""Love Hurts"" respectively.[4]

They had two number-one hits in Mexico: <a href=""https://www.last.fm/music/Yndio"">Read more on Last.fm</a>",16703,113631,"['Grupo Yndio', 'Los Brios', ""Los Freddy's"", 'Los Muecas', 'Samuray']"
Tamer Hosny,"Tamer Hosny (Arabic: تامر حسني‎; born August 16, 1977) is an Egyptian singer-songwriter and actor, referred to as the King of Generation. He is currently one of the top-selling artists releasing albums in Egypt and the Arab World. He was initially featured on Free Mix mixtapes from FreeMusic, an Egyptian music production company.

Hosny's father was The Egyptian (Sherif Wael Hosny) and his mother is Syrian, but she has spent her life in Egypt. <a href=""https://www.last.fm/music/Tamer+Hosny"">Read more on Last.fm</a>",70580,1065069,"['Mohamed Hamaki', 'Tamer Ashour', 'عمر دياب', 'Ramy Sabry', 'Mahmoud El Esseily']"
Memphis La Blusera,"""Memphis La Blusera"" es una banda argentina de blues y rock nacida en el barrio porteño de La Paternal el 5 de mayo de 1978. Comenzaron a tocar como banda con temáticas muy sociales y trabajadoras, saliéndose de esa línea con el disco ""Tonto Rompecabezas"", donde se van al grano de lo que es las letras sobre el amor. Para su grabación en vivo de 25º aniversario en Luna Park, se revivió parte de la fama de la banda, que además visitó otros países como Chile. <a href=""https://www.last.fm/music/Memphis+La+Blusera"">Read more on Last.fm</a>",23705,296967,"['Divididos', 'Los Caballeros De La Quema', 'Las Pelotas', 'Patricio Rey y sus Redonditos de Ricota', 'Pappo']"
Vanessa Carlton,"Vanessa Lee Carlton (born August 16, 1980 in Milford, Pennsylvania) is an American pop and rock singer, songwriter and pianist best known for her hit song ""A Thousand Miles"", the first single from her platinum-selling debut album Be Not Nobody (2002).

Vanessa's sixth studio album, Love Is An Art, releases on March 27th, 2020 through Dine Alone Records.

Vanessa's fifth studio album, Liberman, was released on October 23 2015, through Dine Alone Records. <a href=""https://www.last.fm/music/Vanessa+Carlton"">Read more on Last.fm</a>",1436096,15352636,"['Michelle Branch', 'Ashlee Simpson', 'Natalie Imbruglia', 'Hilary Duff', 'Sara Bareilles']"
Sleestackz," <a href=""https://www.last.fm/music/+noredirect/Sleestackz"">Read more on Last.fm</a>",927,4542,[]
Jeff Golub,"Jeff Golub was a contemporary jazz guitarist with 11 solo albums and 3 CD's as the leader of the instrumental band ""Avenue Blue"". Before becoming an instrumentalist, Golub worked as a sideman to a number of very successful rock and pop artists.

He's arguably best known for his work with Rod Stewart, who he played with from 1988 until 1995 performing on 4 albums and 5 world tours as well as recording the live DVD ""One Night Only"" live at Royal Albert Hall. <a href=""https://www.last.fm/music/Jeff+Golub"">Read more on Last.fm</a>",95097,871459,"['Paul Brown', 'Jay Soto', 'Chuck Loeb', 'Norman Brown', 'Jonathan Fritzén']"
Atif Aslam,"Atif Aslam (Urdu:  عاطف اسلم ) is a Pakistani musician. He was born in Wazirabad, Gujranwala, Pakistan and educated in Lahore and Rawalpindi.

Atif attended High School at PAF College Lahore, where he played cricket and became interested in music. He attended PICS (Punjab Institute of Computer Science) to do his Bachelors in Computer Science (BCs). It was at PICS Lahore that he met guitarist and talented, young composer (like himself), Gohar Mumtaz. <a href=""https://www.last.fm/music/Atif+Aslam"">Read more on Last.fm</a>",141949,5039697,"['Pritam', 'Arijit Singh', 'Rahat Fateh Ali Khan', 'Vishal-Shekhar', 'KK']"
Sombra e Bastardo," <a href=""https://www.last.fm/music/Sombra+e+Bastardo"">Read more on Last.fm</a>",1349,8358,"['Somos Nós A Justiça', 'Cartel Central', 'Conexão Do Morro', 'SP Funk', 'Detentos do Rap']"
Sum 41,"Sum 41 is a Canadian punk rock band from Ajax, Ontario, Canada, active since 1996. The current members, as of 2023, are Deryck Whibley (lead vocals, rhythm guitar), Jason McCaslin (bass guitar, backing vocals),  Dave Baksh (lead guitar, backing vocals), Tom Thacker (rhythm and lead guitar, keyboards, backing vocals) and Frank Zummo (drums). They've released six studio albums as of February 2017.

Sum 41 released their debut album, All Killer No Filler <a href=""https://www.last.fm/music/Sum+41"">Read more on Last.fm</a>",2997910,122289388,"['blink-182', 'Zebrahead', 'Good Charlotte', 'The Offspring', 'Yellowcard']"
Lee Ritenour,"Ritenour was born January 11, 1952 in Los Angeles, California. He played his first session when he was 16 with the Mamas and the Papas. Nicknamed ""Captain Fingers"", he (along with Larry Carlton) was a sought-after session guitarist by the mid-1970s. He is noted for playing his red Gibson ES-335 and his Gibson L5 guitars. One of his most notable influences is the pioneering jazz guitarist Wes Montgomery. In 1976, he released his first solo album, First Course. <a href=""https://www.last.fm/music/Lee+Ritenour"">Read more on Last.fm</a>",242588,2484144,"['Larry Carlton', 'Fourplay', 'Joe Sample', 'Chuck Loeb', 'Bob James']"
Loon,"There are at least two artists/bands that go by this name:

1) Loon (born Chauncey Hawkins November,4 1975 in Harlem, New York) is an African American rapper formerly part of P. Diddy's Bad Boy Records, where he released his self-titled debut album, Loon. He has also made many guest appearances on songs of the R&B and hip hop genres. In 2004, Loon left Bad Boy to start his own label, Boss Up Entertainment. Loon started his music career as a member of Mase (Mason Betha) rap collective Harlem World. <a href=""https://www.last.fm/music/Loon"">Read more on Last.fm</a>",25720,115328,"['Godplant', 'White Swan', ""The caroline's"", 'Moongazing And Her', 'Drizzly.']"
El Chojin,"El Chojin (name of the god of the hentai saga Urotsukidōji) is the aka of Domingo Edjang Moreno, rapper from Torrejón de Ardoz (Madrid, España).

El Chojin is known for the social content of his songs, and is one of the most prolific MCs in Spain, having published 9 LPs and several demos.

 <a href=""https://www.last.fm/music/El+Chojin"">Read more on Last.fm</a>",41325,955504,"['SFDK', 'Nach', 'KASE.O', 'Toteking', 'Sharif']"
Saykoji,"Ignatius Rosoinaya Penyami / Saykoji (born June 8, 1983) is a rapper from Indonesia.

Ignatius Rosoinaya Penyami atau lebih terkenal dengan nama Saykoji  (lahir di Balikpapan, Kalimantan Timur, 8 Juni 1983; umur 26 tahun) adalah seorang rapper Indonesia. Lewat lagu ""So What Gitu Loh"" di album pertama nama Saykoji mulai dikenal publik pada tahun 2004. Saat itu, Saykoji merupakan salah satu penyanyi rap yang cukup diperhitungkan setelah era Iwa K meredup. <a href=""https://www.last.fm/music/Saykoji"">Read more on Last.fm</a>",9468,85674,"['ST 12', 'The Titans', 'Jikustik', 'The Dance Company', 'Mbah Surip']"
Zemfira,"Zemfira Ramazanova (born 26 August 1976 in Ufa) is the leader and lead vocalist of the Russian rock band ""Zemfira"" (Zемфира, formerly Земфира). The group was formed in 1998 and has been immensely popular in Russia and other former Soviet republics. <a href=""https://www.last.fm/music/+noredirect/Zemfira"">Read more on Last.fm</a>",58033,1532569,[]
The Black Seeds,"The Black Seeds is a band from Wellington, New Zealand, formed in 1998. They blend dub, reggae and funk sounds to an unique funksteady-soulsteady reggae. They perform with 8-10 members for vocals, guitar, sax, trumpet, bass, drums, bongos, keyboard, woodblock... Their debut studio album Keep on Pushing was released 2001 and the latest, Dust and Dirt, 2012. Their 'One By One' became an international hit after played in top ranked TV Series Breaking Bad. <a href=""https://www.last.fm/music/The+Black+Seeds"">Read more on Last.fm</a>",158011,2384315,"['Salmonella Dub', 'Katchafire', ""Fat Freddy's Drop"", 'Kora', 'Groundation']"
Biquini Cavadão,"Biquini Cavadão é uma banda de rock brasileira formada em 1983 no Rio de Janeiro. Atualmente composto por Bruno Gouveia, Carlos Coelho, Miguel Flores e Álvaro Lopes tendo como músicos convidados o baixista Marcelo Magal (que substituiu Andre Sheik, que saiu da banda em 2000) e o saxofonista Walmer Carvalho, a banda fez parte da segunda geração de bandas dos anos 80. <a href=""https://www.last.fm/music/+noredirect/Biquini+Cavad%C3%A3o"">Read more on Last.fm</a>",157991,3188802,"['Capital Inicial', 'Ira!', 'Os Paralamas Do Sucesso', 'Nenhum de Nós', 'RPM']"
Mel Tormé,"Melvin Howard Tormé (1925–1999) was born to immigrant Russian Jewish parents whose name had been Torma. A child prodigy, he first sang professionally at 4 with the Coon-Sanders Orchestra, singing ""You're Driving Me Crazy,"" at Chicago's Blackhawk restaurant. 1933-41, he acted in the network radio serials ""The Romance of Helen Trent"" and ""Jack Armstrong, the All-American Boy."" He wrote his first song at 13 and three years later, his first published song, ""Lament to Love,"" became a hit recording for Harry James. <a href=""https://www.last.fm/music/+noredirect/Mel+Torm%C3%A9"">Read more on Last.fm</a>",731483,4042751,"['Joe Williams', 'Tony Bennett', 'Sammy Davis, Jr.', 'Peggy Lee', 'Nat King Cole']"
Kaiser Chiefs,"Kaiser Chiefs is a post-britpop band which formed in Leeds, West Yorkshire, England in early 2003. The band consists of Ricky Wilson (vocals), Andrew ""Whitey"" White (guitar), Simon Rix (bass), Nick ""Peanut"" Baines (keyboards) and Vijay Mistry(drums). Nick Hodgson is the band's former drummer and main songwriter but left the band in December 2012 to focus on other projects. The band has released seven albums as of 2020 and have released 27 singles, including the hits I Predict a Riot, Oh My God, Ruby and Never Miss a Beat.  <a href=""https://www.last.fm/music/Kaiser+Chiefs"">Read more on Last.fm</a>",2627348,58593260,"['Kasabian', 'Franz Ferdinand', 'Razorlight', 'The Fratellis', 'Hard-Fi']"
Donald Byrd,"Donaldson Toussaint L'Ouverture Byrd II (born December 9, 1932 –  February 4, 2013) was an American jazz, rhythm and blues trumpeter.  Born in Detroit, Michigan. He performed with Lionel Hampton before finishing high school. After playing in a military band during a term in the United States Air Force, he obtained a bachelor's degree in music from Wayne State University and a master's degree from Manhattan School of Music. While still at the Manhattan School he joined Art Blakey's Jazz Messengers, replacing Clifford Brown. <a href=""https://www.last.fm/music/Donald+Byrd"">Read more on Last.fm</a>",437396,4002501,"['Bobbi Humphrey', 'Lou Donaldson', 'Bobby Hutcherson', 'Freddie Hubbard', 'Lee Morgan']"
Proof,"1.DeShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known as Proof, was a Detroit hip hop rapper and member of the rap groups D12 and 5 Elementz.
Although Proof first rose to national prominence as a part of the rap group D12, he had been fairly successful on his own. Most notably, he was featured in The Source's Unsigned Hype column in 1999 and came close to winning the 1998 Blaze Battle. His first television appearance can be seen in the Aaliyah video ""Age Ain't Nothing But a Number"". <a href=""https://www.last.fm/music/Proof"">Read more on Last.fm</a>",549655,2372993,"['Bizarre', 'Stat Quo', 'Obie Trice', 'La Banda Bastön', 'D12']"
Mo' Horizons,"Mo' Horizons are the producers, musicians and DJ's Ralf Droesemeyer and Mark 'Foh' Wetzler. Their first album, Come Touch the Sun, which features Mo's first two 12""s 'Yes Baby Yes (Sally Said) and Foto Viva, melts together influences ranging from the soulful fifties, sixties & funky seventies straight to the nineties. Integrating modern production techniques and a handful of talented live-musicians and vocalists they create a sound that varies in mood and style but is still homogenous and therefore can easily be identified as Mo' Horizons. <a href=""https://www.last.fm/music/Mo%27+Horizons"">Read more on Last.fm</a>",461804,4699360,"['Llorca', 'Minus 8', 'Rodney Hunter', 'Boozoo Bajou', 'Slackwax']"
